Candidate Name,Affiliation,Incumbent,Percentage of Vote,Winner,State,District,Money Raised,Money Spent
Adam Christensen,D,False,42.9,False,Florida,03,216021.0,219108.0
John Rutherford,R,True,61.1,True,Florida,04,1024912.0,1283701.0
Donna Deegan,D,False,38.9,False,Florida,04,1013157.0,1013157.0
Al Lawson,D,True,65.1,True,Florida,05,848498.0,695779.0
Gary Adler,R,False,34.9,False,Florida,05,146909.0,146909.0
Michael Waltz,R,True,60.6,True,Florida,06,2549667.0,1716768.0
Clint Curtis,D,False,39.4,False,Florida,06,24310.0,22251.0
Gerry Nolan,I,False,0,False,Florida,06,4467.0,5256.0
Stephanie Murphy,D,True,55.3,True,Florida,07,3124692.0,1798549.0
Leo Valentin,R,False,43.2,False,Florida,07,1045426.0,1031316.0
Bill Garlington,I,False,1.4,False,Florida,07,11000.0,0.0
Bill Posey,R,True,61.4,True,Florida,08,985268.0,1121834.0
James Kennedy,D,False,38.6,False,Florida,08,138568.0,138790.0
Darren Soto,D,True,56.0,True,Florida,09,1111750.0,945868.0
William Olson,R,False,44.0,False,Florida,09,404406.0,401088.0
Val Demings,D,True,63.6,True,Florida,10,1876047.0,1191020.0
Vennia Francois,R,False,36.4,False,Florida,10,335480.0,332852.0
Kristofer Steven Lawson,I,False,0,False,Florida,10,47.0,47.0
Daniel Webster,R,True,66.7,True,Florida,11,691261.0,586965.0
Dana Cottrell,D,False,33.3,False,Florida,11,62658.0,62380.0
Gus Bilirakis,R,True,62.9,True,Florida,12,1604137.0,1548634.0
Kim Walker,D,False,37.1,False,Florida,12,42802.0,33544.0
Charlie Crist,D,True,53.0,True,Florida,13,2720646.0,3980695.0
Anna Paulina Luna,R,False,47.0,False,Florida,13,3302944.0,3262236.0
Kathy Castor,D,True,60.3,True,Florida,14,884651.0,1201653.0
Christine Quinn,R,False,39.7,False,Florida,14,242144.0,241187.0
Alan Cohn,D,False,44.6,False,Florida,15,2333053.0,2300197.0
Scott Franklin,R,False,55.4,True,Florida,15,1663898.0,1638417.0
Vernon Buchanan,R,True,55.5,True,Florida,16,3094611.0,3100766.0
Margaret Good,D,False,44.5,False,Florida,16,3411924.0,3407845.0
Greg Steube,R,True,64.6,True,Florida,17,759908.0,621200.0
Allen Ellison,D,False,34.1,False,Florida,17,83481.0,78243.0
Brian Mast,R,True,56.4,True,Florida,18,6128177.0,5301307.0
Pam Keith,D,False,41.5,False,Florida,18,1639873.0,1632736.0
Byron Donalds,R,False,61.3,True,Florida,19,3219579.0,2738685.0
Cindy Banyai,D,False,38.7,False,Florida,19,214750.0,203430.0
Alcee Hastings,D,True,78.7,True,Florida,20,607649.0,543316.0
Greg Musselwhite,R,False,21.3,False,Florida,20,28955.0,27538.0
Lois Frankel,D,True,59.0,True,Florida,21,1534882.0,1309786.0
Laura Loomer,R,False,39.1,False,Florida,21,2271604.0,2240689.0
Charleston Malkemus,I,False,1.9,False,Florida,21,28928.0,28636.0
Ted Deutch,D,True,58.6,True,Florida,22,1364438.0,1265494.0
Jim Pruden,R,False,41.4,False,Florida,22,278416.0,278416.0
Debbie Wasserman Schultz,D,True,58.2,True,Florida,23,2191922.0,1979903.0
Carla Spalding,R,False,41.8,False,Florida,23,919579.0,903561.0
Frederica Wilson,D,True,75.6,True,Florida,24,412592.0,321019.0
Lavern Spicer,R,False,20.4,False,Florida,24,34973.0,34909.0
Christine Olivo,I,False,4.0,False,Florida,24,31646.0,32898.0
Mario Diaz-Balart,R,True,100.0,True,Florida,25,1590134.0,804054.0
Debbie Mucarsel-Powell,D,True,48.3,False,Florida,26,6793521.0,6822740.0
Carlos Gimenez,R,False,51.7,True,Florida,26,2226559.0,2187389.0
Donna Shalala,D,True,48.6,False,Florida,27,3842907.0,3735966.0
Maria Salazar,R,False,51.4,True,Florida,27,3654190.0,3645814.0
Frank Polo,I,False,0,False,Florida,27,4606.0,4662.0
Buddy Carter,R,True,58.4,True,Georgia,01,2315487.0,1734754.0
Joyce Griggs,D,False,41.7,False,Georgia,01,130043.0,125000.0
Sanford Bishop,D,True,59.1,True,Georgia,02,1540683.0,1440571.0
Don Cole,R,False,40.9,False,Georgia,02,164274.0,162522.0
Drew Ferguson,R,True,65.0,True,Georgia,03,2374212.0,2150911.0
Val Almonord,D,False,35.0,False,Georgia,03,35762.0,31946.0
Hank Johnson,D,True,80.1,True,Georgia,04,628303.0,490360.0
Johsira C. Cruz,R,False,19.9,False,Georgia,04,12954.0,23146.0
Nikema Williams,D,False,85.2,True,Georgia,05,553964.0,362801.0
Robert Franklin,D,False,0,False,Georgia,05,360473.0,358394.0
Angela Stanton-King,R,False,14.9,False,Georgia,05,305279.0,301338.0
Kwanza Hall,D,False,0,False,Georgia,05,239597.0,227091.0
Barrington Martin II,D,False,0,False,Georgia,05,16522.0,16517.0
Chase Oliver,L,False,0,False,Georgia,05,9225.0,5220.0
Steven Muhammad,I,False,0,False,Georgia,05,3497.0,4965.0
Keisha Waites,D,False,0,False,Georgia,05,875.0,0.0
Lucy McBath,D,True,54.6,True,Georgia,06,8507298.0,8586054.0
Karen Handel,R,False,45.4,False,Georgia,06,3026243.0,3072932.0
Carolyn Bourdeaux,D,False,54.4,True,Georgia,07,5133244.0,5161230.0
Richard McCormick,R,False,48.6,False,Georgia,07,2595446.0,2563724.0
Austin Scott,R,True,64.5,True,Georgia,08,821745.0,716159.0
Jimmy Cooper,3,False,0,False,Georgia,08,8542.0,8528.0
Lindsay Holliday,D,False,35.5,False,Georgia,08,7480.0,5220.0
Andrew Clyde,R,False,78.6,True,Georgia,09,1569425.0,1561316.0
Devin Pandy,D,False,21.4,False,Georgia,09,84272.0,84623.0
Jody Hice,R,True,62.3,True,Georgia,10,595947.0,457648.0
Tabitha Johnson-Green,D,False,37.7,False,Georgia,10,14808.0,12214.0
Barry Loudermilk,R,True,60.4,True,Georgia,11,877767.0,700851.0
Dana Barrett,D,False,39.6,False,Georgia,11,404625.0,394977.0
Richard W Allen,R,True,58.4,True,Georgia,12,1228970.0,662818.0
Liz Johnson,D,False,41.6,False,Georgia,12,72061.0,72061.0
David Scott,D,True,77.4,True,Georgia,13,1209614.0,1131746.0
Becky Hites,R,False,22.6,False,Georgia,13,63509.0,62935.0
Martin Cowen,L,False,0,False,Georgia,13,13460.0,13464.0
Marjorie Taylor Greene,R,False,74.8,True,Georgia,14,2596914.0,2237599.0
Ed Case,D,True,64.7,False,Hawaii,01,508249.0,472569.0
Ron Curtis,R,False,25.1,False,Hawaii,01,12538.0,12647.0
