,Name,Affiliation,Incumbent,Winner,Vote %,Cash Raised,Cash Spent,State,District Number
149,Jason Crow,D,1,1,57.1,4136137.0,2892443.0,CO,06
150,Steven House,R,0,0,40.0,1200056.0,1198044.0,CO,06
151,Jaimie Kulikowski,3,0,0,0.9,72293.0,110645.0,CO,06
152,Ed Perlmutter,D,1,1,59.1,1632262.0,1339482.0,CO,07
153,Casper Stockham,R,0,0,37.6,147872.0,147872.0,CO,07
154,Anthony Malgieri,I,0,0,,1930.0,1958.0,CO,07
155,John Larson,D,1,1,63.7,1377238.0,1323690.0,CT,01
156,Mary Fay,R,0,0,35.0,26836.0,25118.0,CT,01
157,Joe Courtney,D,1,1,59.4,964731.0,999360.0,CT,02
158,Justin Anderson,R,0,0,38.2,80227.0,78767.0,CT,02
159,Rosa DeLauro,D,1,1,58.7,1938999.0,1795635.0,CT,03
160,Margaret Streicker,R,0,0,39.8,1839080.0,1835385.0,CT,03
161,Justin Paglino,3,0,0,1.5,29200.0,28670.0,CT,03
162,Jim Himes,D,1,1,62.3,1612935.0,2180029.0,CT,04
163,Jonathan Riddle,R,0,0,36.2,31591.0,17385.0,CT,04
164,Jahana Hayes,D,1,1,55.1,2037826.0,1564685.0,CT,05
165,David Sullivan,R,0,0,43.5,397395.0,397370.0,CT,05
166,Lisa Blunt Rochester,D,1,1,57.6,2024201.0,1305618.0,DE,01
167,Lee Murphy,R,0,0,40.2,131394.0,131862.0,DE,01
168,Catherine Purcell,I,0,0,1.4,5344.0,5103.0,DE,01
169,Matt Gaetz,R,1,1,64.6,5946646.0,4482782.0,FL,01
170,Phil Ehr,D,0,0,34.0,2025099.0,1900451.0,FL,01
171,Bert Oram,I,0,0,1.4,8108.0,7070.0,FL,01
172,Neal Dunn,R,1,1,98.0,653488.0,637580.0,FL,02
173,Kristy Thripp,I,0,0,,145.0,145.0,FL,02
174,Kat Cammack,R,0,1,57.1,1122188.0,1090334.0,FL,03
175,Adam Christensen,D,0,0,42.9,216021.0,219108.0,FL,03
176,John Rutherford,R,1,1,61.1,1024912.0,1283701.0,FL,04
177,Donna Deegan,D,0,0,38.9,1013157.0,1013157.0,FL,04
178,Al Lawson,D,1,1,65.1,848498.0,695779.0,FL,05
179,Gary Adler,R,0,0,34.9,146909.0,146909.0,FL,05
180,Michael Waltz,R,1,1,60.6,2549667.0,1716768.0,FL,06
181,Clint Curtis,D,0,0,39.4,24310.0,22251.0,FL,06
182,Gerry Nolan,I,0,0,,4467.0,5256.0,FL,06
183,Stephanie Murphy,D,1,1,55.3,3124692.0,1798549.0,FL,07
184,Leo Valentin,R,0,0,43.2,1045426.0,1031316.0,FL,07
185,Bill Garlington,I,0,0,1.4,11000.0,0.0,FL,07
186,Bill Posey,R,1,1,61.4,985268.0,1121834.0,FL,08
187,James Kennedy,D,0,0,38.6,138568.0,138790.0,FL,08
188,Darren Soto,D,1,1,56.0,1111750.0,945868.0,FL,09
189,William Olson,R,0,0,44.0,404406.0,401088.0,FL,09
190,Val Demings,D,1,1,63.6,1876047.0,1191020.0,FL,10
191,Vennia Francois,R,0,0,36.4,335480.0,332852.0,FL,10
192,Kristofer Steven Lawson,I,0,0,,47.0,47.0,FL,10
193,Daniel Webster,R,1,1,66.7,691261.0,586965.0,FL,11
194,Dana Cottrell,D,0,0,33.3,62658.0,62380.0,FL,11
195,Gus Bilirakis,R,1,1,62.9,1604137.0,1548634.0,FL,12
196,Kim Walker,D,0,0,37.1,42802.0,33544.0,FL,12
197,Charlie Crist,D,1,1,53.0,2720646.0,3980695.0,FL,13
198,Anna Paulina Luna,R,0,0,47.0,3302944.0,3262236.0,FL,13
199,Kathy Castor,D,1,1,60.3,884651.0,1201653.0,FL,14
200,Christine Quinn,R,0,0,39.7,242144.0,241187.0,FL,14
201,Alan Cohn,D,0,0,44.6,2333053.0,2300197.0,FL,15
202,Scott Franklin,R,0,1,55.4,1663898.0,1638417.0,FL,15
203,Vernon Buchanan,R,1,1,55.5,3094611.0,3100766.0,FL,16
204,Margaret Good,D,0,0,44.5,3411924.0,3407845.0,FL,16
205,Greg Steube,R,1,1,64.6,759908.0,621200.0,FL,17
206,Allen Ellison,D,0,0,34.1,83481.0,78243.0,FL,17
207,Brian Mast,R,1,1,56.4,6128177.0,5301307.0,FL,18
208,Pam Keith,D,0,0,41.5,1639873.0,1632736.0,FL,18
209,Byron Donalds,R,0,1,61.3,3219579.0,2738685.0,FL,19
210,Cindy Banyai,D,0,0,38.7,214750.0,203430.0,FL,19
211,Alcee Hastings,D,1,1,78.7,607649.0,543316.0,FL,20
212,Greg Musselwhite,R,0,0,21.3,28955.0,27538.0,FL,20
213,Lois Frankel,D,1,1,59.0,1534882.0,1309786.0,FL,21
214,Laura Loomer,R,0,0,39.1,2271604.0,2240689.0,FL,21
215,Charleston Malkemus,I,0,0,1.9,28928.0,28636.0,FL,21
216,Ted Deutch,D,1,1,58.6,1364438.0,1265494.0,FL,22
217,Jim Pruden,R,0,0,41.4,278416.0,278416.0,FL,22
218,Debbie Wasserman Schultz,D,1,1,58.2,2191922.0,1979903.0,FL,23
219,Carla Spalding,R,0,0,41.8,919579.0,903561.0,FL,23
220,Frederica Wilson,D,1,1,75.6,412592.0,321019.0,FL,24
221,Lavern Spicer,R,0,0,20.4,34973.0,34909.0,FL,24
222,Christine Olivo,I,0,0,4.0,31646.0,32898.0,FL,24
223,Mario DiazBalart,R,1,1,100.0,1590134.0,804054.0,FL,25
224,Debbie MucarselPowell,D,1,0,48.3,6793521.0,6822740.0,FL,26
225,Carlos Gimenez,R,0,1,51.7,2226559.0,2187389.0,FL,26
226,Donna Shalala,D,1,0,48.6,3842907.0,3735966.0,FL,27
227,Maria Salazar,R,0,1,51.4,3654190.0,3645814.0,FL,27
228,Frank Polo,I,0,0,,4606.0,4662.0,FL,27
229,Buddy Carter,R,1,1,58.4,2315487.0,1734754.0,GA,01
230,Joyce Griggs,D,0,0,41.7,130043.0,125000.0,GA,01
231,Sanford Bishop,D,1,1,59.1,1540683.0,1440571.0,GA,02
232,Don Cole,R,0,0,40.9,164274.0,162522.0,GA,02
233,Drew Ferguson,R,1,1,65.0,2374212.0,2150911.0,GA,03
234,Val Almonord,D,0,0,35.0,35762.0,31946.0,GA,03
235,Hank Johnson,D,1,1,80.1,628303.0,490360.0,GA,04
236,Johsira C. Cruz,R,0,0,19.9,12954.0,23146.0,GA,04
237,Nikema Williams,D,0,1,85.2,553964.0,362801.0,GA,05
238,Robert Franklin,D,0,0,,360473.0,358394.0,GA,05
239,Angela Stanton-King,R,0,0,14.9,305279.0,301338.0,GA,05
240,Kwanza Hall,D,0,0,,239597.0,227091.0,GA,05
241,Barrington Martin II,D,0,0,,16522.0,16517.0,GA,05
242,Chase Oliver,L,0,0,,9225.0,5220.0,GA,05
243,Steven Muhammad,I,0,0,,3497.0,4965.0,GA,05
244,Keisha Waites,D,0,0,,875.0,0.0,GA,05
245,Lucy McBath,D,1,1,54.6,8507298.0,8586054.0,GA,06
246,Karen Handel,R,0,0,45.4,3026243.0,3072932.0,GA,06
247,Carolyn Bourdeaux,D,0,1,54.4,5133244.0,5161230.0,GA,07
248,Richard McCormick,R,0,0,48.6,2595446.0,2563724.0,GA,07
249,Austin Scott,R,1,1,64.5,821745.0,716159.0,GA,08
250,Jimmy Cooper,3,0,0,,8542.0,8528.0,GA,08
