candidate_name,party,incumbent,winner,perc_vote,money_raised,money_spent,state_name,district,state_dist,perc_vote_max,winner_bool
Aja Smith,R,0,0,36.0,660658,659909,CA,41,CA41,64.0,0
Ken Calvert,R,1,1,57.1,1441812,1549113,CA,42,CA42,57.1,1
Liam O'Mara,D,0,0,42.9,130065,128782,CA,42,CA42,57.1,0
Maxine Waters,D,1,1,71.7,1836660,1906957,CA,43,CA43,71.7,1
Joe Collins,R,0,0,28.3,10556626,9921103,CA,43,CA43,71.7,0
Nanette Barragan,D,1,1,67.8,1173909,714023,CA,44,CA44,67.8,1
Katie Porter,D,1,1,53.5,16627706,6443700,CA,45,CA45,53.5,1
Greg Raths,R,0,0,46.5,1245767,1241713,CA,45,CA45,53.5,0
Lou Correa,D,1,1,68.8,1192715,650707,CA,46,CA46,68.8,1
Alan Lowenthal,D,1,1,63.3,678648,854902,CA,47,CA47,63.3,1
John Briscoe,R,0,0,36.7,25302,21538,CA,47,CA47,63.3,0
Harley Rouda,D,1,0,48.9,5968858,6174443,CA,48,CA48,51.1,0
Michelle Steel,R,0,1,51.1,6305665,6148591,CA,48,CA48,51.1,1
Mike Levin,D,1,1,53.1,3845768,2901566,CA,49,CA49,53.1,1
Brian Maryott,R,0,0,46.9,2810253,2808217,CA,49,CA49,53.1,0
Darrell Issa,R,0,1,54.0,11239670,10947106,CA,50,CA50,54.0,1
Ammar Campa-Najjar,D,0,0,46.0,6248210,6247762,CA,50,CA50,54.0,0
Juan Vargas,D,1,1,68.3,799734,801671,CA,51,CA51,68.3,1
Juan Hidalgo,R,0,0,31.7,83730,81182,CA,51,CA51,68.3,0
Scott Peters,D,1,1,61.6,1911791,2131849,CA,52,CA52,61.6,1
James Debello,R,0,0,38.4,233464,224630,CA,52,CA52,61.6,0
Sara Jacobs,D,0,1,59.5,7678363,7586186,CA,53,CA53,59.5,1
Georgette Gomez,D,0,0,40.5,1691794,1663252,CA,53,CA53,59.5,0
Diana DeGette,D,1,1,73.7,1201026,1077130,CO,01,CO01,73.7,1
Joseph Neguse,D,1,1,61.5,1353325,674602,CO,02,CO02,61.5,1
Charles Winn,R,0,0,35.4,98338,98338,CO,02,CO02,61.5,0
Alex Johnson,I,0,0,0.0,4782,4093,CO,02,CO02,61.5,0
Diane Mitsch Bush,D,0,0,45.2,5008274,4984238,CO,03,CO03,51.4,0
Lauren Boebert,R,0,1,51.4,2989510,2632716,CO,03,CO03,51.4,1
Chris Milton,3,0,0,1.0,12012,12012,CO,03,CO03,51.4,0
Ken Buck,R,1,1,60.1,478984,539393,CO,04,CO04,60.1,1
Ike McCorkle,D,0,0,36.1,369871,217398,CO,04,CO04,60.1,0
Doug Lamborn,R,1,1,57.6,540712,329011,CO,05,CO05,57.6,1
Jillian Freeland,D,0,0,37.4,185255,175548,CO,05,CO05,57.6,0
Rebecca Keltie,3,0,0,0.8,2552,1495,CO,05,CO05,57.6,0
Jason Crow,D,1,1,57.1,4136137,2892443,CO,06,CO06,57.1,1
Steven House,R,0,0,40.0,1200056,1198044,CO,06,CO06,57.1,0
Jaimie Kulikowski,3,0,0,0.9,72293,110645,CO,06,CO06,57.1,0
Ed Perlmutter,D,1,1,59.1,1632262,1339482,CO,07,CO07,59.1,1
Casper Stockham,R,0,0,37.6,147872,147872,CO,07,CO07,59.1,0
Anthony Malgieri,I,0,0,0.0,1930,1958,CO,07,CO07,59.1,0
John Larson,D,1,1,63.7,1377238,1323690,CT,01,CT01,63.7,1
Mary Fay,R,0,0,35.0,26836,25118,CT,01,CT01,63.7,0
Joe Courtney,D,1,1,59.4,964731,999360,CT,02,CT02,59.4,1
Justin Anderson,R,0,0,38.2,80227,78767,CT,02,CT02,59.4,0
Rosa DeLauro,D,1,1,58.7,1938999,1795635,CT,03,CT03,58.7,1
Margaret Streicker,R,0,0,39.8,1839080,1835385,CT,03,CT03,58.7,0
Justin Paglino,3,0,0,1.5,29200,28670,CT,03,CT03,58.7,0
Jim Himes,D,1,1,62.3,1612935,2180029,CT,04,CT04,62.3,1
Jonathan Riddle,R,0,0,36.2,31591,17385,CT,04,CT04,62.3,0
Jahana Hayes,D,1,1,55.1,2037826,1564685,CT,05,CT05,55.1,1
David Sullivan,R,0,0,43.5,397395,397370,CT,05,CT05,55.1,0
Lisa Blunt Rochester,D,1,1,57.6,2024201,1305618,DE,01,DE01,57.6,1
Lee Murphy,R,0,0,40.2,131394,131862,DE,01,DE01,57.6,0
Catherine Purcell,I,0,0,1.4,5344,5103,DE,01,DE01,57.6,0
Matt Gaetz,R,1,1,64.6,5946646,4482782,FL,01,FL01,64.6,1
Phil Ehr,D,0,0,34.0,2025099,1900451,FL,01,FL01,64.6,0
Bert Oram,I,0,0,1.4,8108,7070,FL,01,FL01,64.6,0
Neal Dunn,R,1,1,98.0,653488,637580,FL,02,FL02,98.0,1
Kristy Thripp,I,0,0,0.0,145,145,FL,02,FL02,98.0,0
Kat Cammack,R,0,1,57.1,1122188,1090334,FL,03,FL03,57.1,1
Adam Christensen,D,0,0,42.9,216021,219108,FL,03,FL03,57.1,0
John Rutherford,R,1,1,61.1,1024912,1283701,FL,04,FL04,61.1,1
Donna Deegan,D,0,0,38.9,1013157,1013157,FL,04,FL04,61.1,0
Al Lawson,D,1,1,65.1,848498,695779,FL,05,FL05,65.1,1
Gary Adler,R,0,0,34.9,146909,146909,FL,05,FL05,65.1,0
Michael Waltz,R,1,1,60.6,2549667,1716768,FL,06,FL06,60.6,1
Clint Curtis,D,0,0,39.4,24310,22251,FL,06,FL06,60.6,0
Gerry Nolan,I,0,0,0.0,4467,5256,FL,06,FL06,60.6,0
Stephanie Murphy,D,1,1,55.3,3124692,1798549,FL,07,FL07,55.3,1
Leo Valentin,R,0,0,43.2,1045426,1031316,FL,07,FL07,55.3,0
Bill Garlington,I,0,0,1.4,11000,0,FL,07,FL07,55.3,0
Bill Posey,R,1,1,61.4,985268,1121834,FL,08,FL08,61.4,1
James Kennedy,D,0,0,38.6,138568,138790,FL,08,FL08,61.4,0
Darren Soto,D,1,1,56.0,1111750,945868,FL,09,FL09,56.0,1
William Olson,R,0,0,44.0,404406,401088,FL,09,FL09,56.0,0
Val Demings,D,1,1,63.6,1876047,1191020,FL,10,FL10,63.6,1
Vennia Francois,R,0,0,36.4,335480,332852,FL,10,FL10,63.6,0
Kristofer Steven Lawson,I,0,0,0.0,47,47,FL,10,FL10,63.6,0
Daniel Webster,R,1,1,66.7,691261,586965,FL,11,FL11,66.7,1
Dana Cottrell,D,0,0,33.3,62658,62380,FL,11,FL11,66.7,0
